Date,Start Time,End Time,Event Title,Venue,Extra Info,Type,Event Categories
Monday 5th September 2022,09:00,09:50,Mathematics,M02,,Timetable,
Monday 5th September 2022,09:55,10:45,Mathematics,M06,,Timetable,
Monday 5th September 2022,11:15,12:05,Economics,SS7,,Timetable,
Monday 5th September 2022,12:10,13:00,Economics,SS7,,Timetable,
Monday 5th September 2022,14:00,14:50,History,H15,,Timetable,
Monday 5th September 2022,14:55,15:45,Academic Coaching,SSFoyer,,Timetable,
Tuesday 6th September 2022,09:15,10:05,Private Study,Lib2,,Timetable,
Tuesday 6th September 2022,10:10,11:00,Academic Coaching,G5,,Timetable,
Tuesday 6th September 2022,11:30,12:20,Philosophy,RP2,,Timetable,
Tuesday 6th September 2022,12:25,13:15,Philosophy,RP3,,Timetable,
Wednesday 7th September 2022,09:00,09:50,Economics,SS7,,Timetable,
Wednesday 7th September 2022,09:55,10:45,Economics,SS7,,Timetable,
Wednesday 7th September 2022,14:00,14:50,History,H02,,Timetable,
Wednesday 7th September 2022,14:55,15:45,History,H02,,Timetable,
Wednesday 7th September 2022,15:50,16:40,Mathematics,M03,,Timetable,
Thursday 8th September 2022,09:15,10:05,Philosophy,RP2,,Timetable,
Thursday 8th September 2022,10:10,11:00,Philosophy,RP3,,Timetable,
Thursday 8th September 2022,11:30,12:20,Mathematics,M03,,Timetable,
Thursday 8th September 2022,12:25,13:15,Mathematics,RP1,,Timetable,
Friday 9th September 2022,09:00,09:50,History,H02,,Timetable,
Friday 9th September 2022,09:55,10:45,History,H15,,Timetable,
Friday 9th September 2022,11:15,12:05,Private Study,Lib2,,Timetable,
Friday 9th September 2022,14:00,14:50,Economics,SS7,,Timetable,
Friday 9th September 2022,14:55,15:45,Philosophy,RP2,,Timetable,
Saturday 10th September 2022,08:35,09:25,Philosophy,RP3,,Timetable,
Saturday 10th September 2022,09:30,10:20,Economics,SS7,,Timetable,
Saturday 10th September 2022,10:45,11:35,History,H15,,Timetable,
Saturday 10th September 2022,11:40,12:30,Mathematics,M03,,Timetable,
